Gene,Predicted Label,Probability
AP2B1,[1],[0.69569093]
DHRS3,[1],[0.69487166]
HNRNPA2B1,[1],[0.6947499]
CFL1,[1],[0.694342]
CELF1,[1],[0.69377685]
CALM1,[1],[0.6929273]
ERLIN2,[1],[0.69131315]
MT-CO3,[1],[0.69098544]
CBX1,[1],[0.69076437]
ACTG1,[1],[0.69064546]
ILF3,[1],[0.6902109]
MS4A1,[1],[0.68979883]
HSP90AB1,[1],[0.68973374]
AP1M1,[1],[0.68890756]
RHOA,[1],[0.6886804]
CDH1,[1],[0.68851125]
THBS4,[1],[0.68773884]
ADAM19,[1],[0.68747914]
GAK,[1],[0.68723893]
CAP1,[1],[0.6868128]
HSPA8,[1],[0.6867512]
EYA4,[1],[0.6861654]
BCL9,[1],[0.6860853]
ATF1,[1],[0.68607044]
ACSM2B,[1],[0.6856703]
AMPD1,[1],[0.6856295]
MYH9,[1],[0.685506]
PBX1,[1],[0.68538105]
TPT1,[1],[0.6850426]
MT-ND4,[1],[0.68498886]
BAD,[1],[0.68442]
ALDH6A1,[1],[0.68424034]
APBB2,[1],[0.6834683]
ASXL1,[1],[0.68284243]
LTBP1,[1],[0.6814997]
ECH1,[1],[0.68083334]
HCRTR1,[1],[0.6803421]
CACNA2D3,[1],[0.6795794]
UBQLN1,[1],[0.67945665]
ARCN1,[1],[0.6784473]
COBL,[1],[0.67701745]
GPR39,[1],[0.676867]
RUNX1,[1],[0.67686063]
GINS2,[1],[0.67661345]
KIF13A,[1],[0.6765875]
VCP,[1],[0.67639005]
TPI1,[1],[0.674792]
BPTF,[1],[0.66802204]
CAPRIN1,[1],[0.6678305]
ENAH,[1],[0.66755885]
MCTS1,[1],[0.6672234]
CAMK1D,[1],[0.6660846]
ATP6V0A1,[1],[0.66595227]
BCAS4,[1],[0.6652655]
CREB3L2,[1],[0.66416746]
COPB1,[1],[0.6630892]
CTBP2,[1],[0.6630205]
GDE1,[1],[0.6626884]
RPS3,[1],[0.66202366]
UBE2G2,[1],[0.66113937]
IGSF6,[1],[0.6604794]
MED13L,[1],[0.659968]
FKBP5,[1],[0.6596864]
CAPG,[1],[0.6589472]
ALDOA,[1],[0.65759397]
PKM,[1],[0.65731007]
ACTR1A,[1],[0.6572987]
BAZ2A,[1],[0.6567201]
ATXN1,[1],[0.6563146]
CACNA2D2,[1],[0.6561034]
ACSL3,[1],[0.6557597]
ASGR1,[1],[0.655226]
WAPL,[1],[0.6541433]
ATF6,[1],[0.6524973]
ANKFY1,[1],[0.652158]
NPM3,[1],[0.6514408]
CRX,[1],[0.6510061]
ALDH7A1,[1],[0.6509191]
CDH13,[1],[0.6494068]
ARHGAP24,[1],[0.6489234]
ANXA2,[1],[0.6481208]
HEG1,[1],[0.64787614]
NUMB,[1],[0.64667225]
BOP1,[1],[0.6452906]
LTBR,[1],[0.6450464]
ZNF429,[1],[0.64478886]
ARL1,[1],[0.64410645]
LAIR1,[1],[0.64384407]
ARID1B,[1],[0.6436734]
NFIA,[1],[0.64351517]
TXNRD1,[1],[0.64220893]
CHCHD3,[1],[0.64212567]
MT-ATP6,[1],[0.6415483]
CCP110,[1],[0.6413716]
RPS27,[1],[0.6405128]
ACLY,[1],[0.6395324]
RNF126,[1],[0.63920337]
KIFC3,[1],[0.63905716]
CHMP7,[1],[0.6390492]
JDP2,[1],[0.63825154]
DERL1,[1],[0.637939]
RPS8,[1],[0.6377767]
MT-ND2,[1],[0.6376392]
EIF3CL,[1],[0.6354133]
REL,[1],[0.6351405]
P2RX1,[1],[0.63428074]
EDEM1,[1],[0.63311386]
ARHGAP17,[1],[0.6327764]
RPS27A,[1],[0.63240534]
MEF2D,[1],[0.63218135]
PRELP,[1],[0.63126606]
SNRNP40,[1],[0.6296597]
BCL2,[1],[0.6291747]
CDK5RAP2,[1],[0.6291542]
CAST,[1],[0.62846625]
GSE1,[1],[0.6283658]
ACSL4,[1],[0.6280241]
DNAJC19,[1],[0.6269807]
DENND2C,[1],[0.62652785]
AK5,[1],[0.6263916]
BRD1,[1],[0.6247892]
ASH1L,[1],[0.6239143]
DHCR24,[1],[0.62365717]
ABCB4,[1],[0.62323767]
PPP4R3B,[1],[0.6229247]
CRABP2,[1],[0.62275547]
HSPBP1,[1],[0.6225743]
MT-CYB,[1],[0.62180704]
ACTA2,[1],[0.62048525]
RPS25,[1],[0.6200678]
COX10,[1],[0.6196218]
LCP1,[1],[0.6195578]
DPYSL3,[1],[0.6193662]
CDH11,[1],[0.61929286]
DROSHA,[1],[0.6192365]
RPL4,[1],[0.61896855]
FAM110A,[1],[0.6187436]
NDUFAF2,[1],[0.61873573]
FHL2,[1],[0.6185826]
AP1S3,[1],[0.61812836]
MT-ND1,[1],[0.6175402]
DCP2,[1],[0.61730886]
HMGB2,[1],[0.6168487]
RPL3,[1],[0.6168142]
ANAPC5,[1],[0.6166985]
ALKBH2,[1],[0.6164265]
CDC42,[1],[0.616057]
FAM110B,[1],[0.61511964]
CDK6,[1],[0.6139151]
AKR1C2,[1],[0.6129714]
DAB2,[1],[0.6110352]
CXCL2,[1],[0.6108833]
CNDP1,[1],[0.6097158]
ERCC6,[1],[0.60939056]
RECQL4,[1],[0.6092871]
TRIO,[1],[0.60899717]
CORO1C,[1],[0.6087324]
DNAJB11,[1],[0.60843045]
RBM14,[1],[0.6078127]
NAA25,[1],[0.6075559]
AKR7A3,[1],[0.6073955]
CCNT1,[1],[0.6068357]
TOMM40,[1],[0.60620844]
