Gene,Predicted Label,Probability
EPHA3,[1],[0.96889997]
LAMB2,[1],[0.9687368]
JMJD1C,[1],[0.9685272]
WWTR1,[1],[0.96827257]
RRAS,[1],[0.9681957]
GRM8,[1],[0.96787775]
NFYA,[1],[0.9677508]
LRRC7,[1],[0.96752095]
PRKCE,[1],[0.96662605]
PCNT,[1],[0.96647817]
SMAD2,[1],[0.96598047]
CALR,[1],[0.96579725]
MAP2,[1],[0.96545815]
REST,[1],[0.96534646]
SF3B1,[1],[0.9640973]
RARG,[1],[0.9635525]
GNB1,[1],[0.9635506]
SMAD3,[1],[0.9633803]
GRIN2A,[1],[0.96276575]
DSP,[1],[0.9623557]
GPIHBP1,[1],[0.9621355]
MED1,[1],[0.96126467]
LAMC1,[1],[0.9611203]
PIK3CD,[1],[0.9609917]
DNAH14,[1],[0.96080965]
FBN1,[1],[0.9596001]
NTRK1,[1],[0.95948]
FYN,[1],[0.959335]
SP1,[1],[0.95891285]
OSM,[1],[0.95865095]
XCL1,[1],[0.95859015]
NTRK3,[1],[0.95769864]
PDYN,[1],[0.9575956]
DNAH17,[1],[0.9571484]
TIAM1,[1],[0.95657796]
PGF,[1],[0.9565521]
RASGRF1,[1],[0.955915]
FLNB,[1],[0.9553011]
RAC2,[1],[0.95520025]
COL12A1,[1],[0.9551174]
NGFR,[1],[0.9547009]
LYN,[1],[0.9543673]
RAPGEF6,[1],[0.9533066]
XCL2,[1],[0.9530278]
SHC4,[1],[0.95266664]
PPBP,[1],[0.9520754]
RPS27A,[1],[0.9515224]
TRIM28,[1],[0.9514998]
CX3CR1,[1],[0.9507078]
DSCAM,[1],[0.9498542]
DNMT3A,[1],[0.94980955]
ACTB,[1],[0.9496138]
FLNA,[1],[0.9494141]
LIFR,[1],[0.9492759]
PCF11,[1],[0.94927293]
RFXANK,[1],[0.9491875]
GRIA1,[1],[0.9489596]
FRAS1,[1],[0.9487599]
KLK3,[1],[0.94823986]
SREBF2,[1],[0.94806856]
BRCA1,[1],[0.94770294]
VLDLR,[1],[0.9461716]
MYO15A,[1],[0.9460646]
VWF,[1],[0.9458902]
RANBP2,[1],[0.9458748]
TEC,[1],[0.94574684]
FASN,[1],[0.9457041]
RPTOR,[1],[0.945636]
CCR9,[1],[0.94523907]
MED13,[1],[0.9448895]
PTPRC,[1],[0.9446328]
TGIF1,[1],[0.9445751]
TNXB,[1],[0.9445329]
CENPF,[1],[0.94430107]
RAC3,[1],[0.943845]
ITGB1,[1],[0.9425323]
NPY1R,[1],[0.94248354]
NFATC1,[1],[0.9414568]
WNK3,[1],[0.9413796]
COL4A5,[1],[0.94097906]
LAMC2,[1],[0.94041955]
MMP13,[1],[0.93950784]
TRAF5,[1],[0.939501]
RAF1,[1],[0.9394736]
IRS1,[1],[0.93947047]
GLI2,[1],[0.93931466]
LCK,[1],[0.93918204]
CCR2,[1],[0.93870264]
ITGB4,[1],[0.938373]
NFKB1,[1],[0.93828076]
IL1RL1,[1],[0.93762285]
PARD3,[1],[0.93747985]
MSN,[1],[0.93743795]
S1PR1,[1],[0.93737453]
SIPA1L1,[1],[0.9370852]
LAMA5,[1],[0.9370427]
SOCS1,[1],[0.93669087]
PRKCG,[1],[0.93666023]
ACACA,[1],[0.93652236]
LAMC3,[1],[0.93624675]
NUP214,[1],[0.9358654]
ITPR3,[1],[0.93562]
MMP9,[1],[0.93522894]
TRRAP,[1],[0.9347904]
HIVEP3,[1],[0.9346529]
CUL1,[1],[0.9338532]
MMP7,[1],[0.93352985]
BAP1,[1],[0.9333543]
GRM3,[1],[0.93296105]
ROBO1,[1],[0.9329395]
MAPK8,[1],[0.93283105]
ACTR2,[1],[0.9323312]
IGF2R,[1],[0.9319085]
KIT,[1],[0.9318374]
OXTR,[1],[0.9316839]
RHOC,[1],[0.93156266]
CUL3,[1],[0.9315438]
HSP90AA1,[1],[0.9308784]
IGF2,[1],[0.93069345]
MMP2,[1],[0.93040174]
PTPRK,[1],[0.9301621]
PPARG,[1],[0.9300344]
HCLS1,[1],[0.92983925]
TRIO,[1],[0.92971003]
SETD1A,[1],[0.9291345]
FOS,[1],[0.9290752]
FGFR4,[1],[0.9289397]
PLCB3,[1],[0.92887396]
PLCE1,[1],[0.9270269]
HLA-DRB5,[1],[0.9266372]
PLA2G4A,[1],[0.9266138]
PTH1R,[1],[0.92600673]
ITGB3,[1],[0.925899]
IQGAP1,[1],[0.92589605]
COL5A1,[1],[0.9245797]
INSR,[1],[0.92448413]
FGF2,[1],[0.924376]
COL7A1,[1],[0.92422724]
MED13L,[1],[0.9240732]
TOPBP1,[1],[0.92391515]
