Gene,Predicted Label,Probability
DNMT3A,[1],[0.83525956]
ITGB4,[1],[0.83516884]
CHD9,[1],[0.83468413]
GRIN2A,[1],[0.8343909]
C3,[1],[0.83343697]
CUL1,[1],[0.8333119]
BSN,[1],[0.83299553]
PTPRF,[1],[0.8316795]
KEAP1,[1],[0.83139086]
PLXNA1,[1],[0.8303398]
SALL4,[1],[0.8292409]
RPL22,[1],[0.82822967]
KMT2E,[1],[0.82764816]
COL1A1,[1],[0.82632697]
DNAH14,[1],[0.8255674]
GON4L,[1],[0.82499087]
CNTLN,[1],[0.82440156]
NACA,[1],[0.8218797]
CCND1,[1],[0.8218723]
FANCA,[1],[0.8213756]
COL6A2,[1],[0.8212678]
MEIS1,[1],[0.8211213]
DDX5,[1],[0.8200086]
TACC2,[1],[0.8183032]
DCHS1,[1],[0.81772834]
AXIN2,[1],[0.8176189]
ANK1,[1],[0.81760067]
RPL3,[1],[0.81598014]
KIF13A,[1],[0.8151689]
RERE,[1],[0.8149931]
CTNNA2,[1],[0.8147096]
ATP1A2,[1],[0.81331104]
SMC1A,[1],[0.8125789]
BRD8,[1],[0.81241775]
ERCC2,[1],[0.81201774]
HMGA2,[1],[0.8120151]
RAC1,[1],[0.811943]
PTPRZ1,[1],[0.8118536]
HNRNPA2B1,[1],[0.8110893]
ARHGAP31,[1],[0.8107466]
AHCTF1,[1],[0.80993825]
ATAD2,[1],[0.80952126]
MCM7,[1],[0.8087626]
PCDH9,[1],[0.8083158]
VCL,[1],[0.80813736]
SCN3A,[1],[0.8076696]
CACNA1C,[1],[0.8075319]
RAPGEF6,[1],[0.8069259]
APP,[1],[0.80649734]
MYLK,[1],[0.80620486]
ZNF462,[1],[0.8061435]
ARHGAP35,[1],[0.805106]
COL5A2,[1],[0.80490583]
KIAA1549,[1],[0.80346775]
COL25A1,[1],[0.80300504]
EPHB1,[1],[0.8024659]
CKAP5,[1],[0.80236584]
KPNB1,[1],[0.8021591]
FLNB,[1],[0.8017419]
TFDP2,[1],[0.80136997]
NR3C2,[1],[0.8012155]
PBX1,[1],[0.7995424]
PLCB1,[1],[0.7977775]
GNG4,[1],[0.7970343]
TEAD1,[1],[0.7968225]
CNTN1,[1],[0.796737]
EPHA2,[1],[0.79654783]
CELSR1,[1],[0.7960951]
CHD1,[1],[0.7959985]
MYPN,[1],[0.7948782]
COL3A1,[1],[0.79467857]
NUP210,[1],[0.794558]
EIF4G3,[1],[0.79394704]
CCDC88A,[1],[0.7934173]
POLA1,[1],[0.7933973]
JAK3,[1],[0.7930702]
ARHGAP21,[1],[0.7915086]
OGT,[1],[0.79046595]
THSD7A,[1],[0.7904478]
RPS3,[1],[0.78974426]
CLTC,[1],[0.78931713]
ITPR3,[1],[0.78922784]
QKI,[1],[0.7889499]
PTPRC,[1],[0.7889429]
UTP20,[1],[0.78822017]
KCNMA1,[1],[0.7876472]
NOS1,[1],[0.78758657]
COL7A1,[1],[0.7871474]
CARD11,[1],[0.7871032]
NEGR1,[1],[0.7869206]
MGAM,[1],[0.7858025]
CTNNA1,[1],[0.78500175]
AQR,[1],[0.7847172]
TAOK1,[1],[0.78416127]
MYH10,[1],[0.783573]
HCFC1,[1],[0.7833883]
IRAK1,[1],[0.7830999]
NUP214,[1],[0.7827126]
DHX9,[1],[0.7824105]
SP1,[1],[0.78228056]
PTPRM,[1],[0.78206325]
PLXNA4,[1],[0.7810592]
EGF,[1],[0.7785146]
