Gene,Predicted Label,Probability
ZEB2,[1],[0.9998605]
ZFP36L2,[1],[0.9998598]
ERBB2,[1],[0.99985945]
ASXL2,[1],[0.99985874]
UGP2,[1],[0.99985707]
FASN,[1],[0.99984944]
BAP1,[1],[0.999846]
DOCK4,[1],[0.99984527]
CCR7,[1],[0.9998448]
ALCAM,[1],[0.9998423]
HLA-E,[1],[0.99984026]
SZT2,[1],[0.99984026]
A1CF,[1],[0.9998368]
UBE2E1,[1],[0.9998362]
ATR,[1],[0.99982953]
ARID1B,[1],[0.9998258]
SEMA3C,[1],[0.9998204]
DPYD,[1],[0.9998197]
UBE2B,[1],[0.99981695]
TNNT1,[1],[0.9998079]
SMAD2,[1],[0.9998067]
YY1,[1],[0.99980146]
WDR82,[1],[0.9997993]
HIF3A,[1],[0.99979895]
TNFRSF13C,[1],[0.99979836]
TCF3,[1],[0.99979836]
UBE2D2,[1],[0.99979705]
SDHAF2,[1],[0.99979407]
NHS,[1],[0.9997898]
TCF12,[1],[0.999788]
EIF4G3,[1],[0.9997869]
VCP,[1],[0.9997856]
SERPINB8,[1],[0.99978095]
PTPRD,[1],[0.99978095]
DNAH1,[1],[0.9997794]
CUBN,[1],[0.9997781]
EXT1,[1],[0.9997756]
MED1,[1],[0.99977416]
XAB2,[1],[0.99977165]
KRT8,[1],[0.9997714]
PALLD,[1],[0.9997708]
GALNT2,[1],[0.99977034]
CUX1,[1],[0.99975866]
PLCG2,[1],[0.9997584]
BCL10,[1],[0.99975806]
FBN1,[1],[0.99975294]
RPL5,[1],[0.9997495]
TRIM28,[1],[0.99974614]
KANSL1,[1],[0.999742]
NFIB,[1],[0.999741]
XPO4,[1],[0.999741]
GNAS,[1],[0.9997303]
POLR2A,[1],[0.9997285]
NDRG1,[1],[0.99972767]
TRMT61B,[1],[0.99972004]
SMO,[1],[0.9997178]
SI,[1],[0.99971336]
NRIP1,[1],[0.99971205]
THY1,[1],[0.99970573]
NR4A3,[1],[0.999703]
PTPRB,[1],[0.9997029]
SLC7A5,[1],[0.9997024]
COL4A5,[1],[0.999701]
MAP3K4,[1],[0.99970067]
PRKCB,[1],[0.99969816]
XRN2,[1],[0.9996978]
SS18L1,[1],[0.9996897]
ZKSCAN1,[1],[0.999689]
SYT6,[1],[0.99968636]
HSP90AA1,[1],[0.9996841]
TNKS1BP1,[1],[0.9996809]
ISX,[1],[0.99967813]
GRIA1,[1],[0.9996724]
PTPRCAP,[1],[0.999665]
ZNF664,[1],[0.9996625]
ESR2,[1],[0.9996599]
SMARCB1,[1],[0.99965763]
CIT,[1],[0.99965453]
SUFU,[1],[0.99965334]
PAX8,[1],[0.99965084]
ERCC2,[1],[0.9996383]
SMC2,[1],[0.9996332]
RYR1,[1],[0.9996332]
PRPF8,[1],[0.99963164]
SMARCC2,[1],[0.99963105]
TTC21B,[1],[0.99962974]
CUL1,[1],[0.99962366]
BAZ1B,[1],[0.99962366]
SF3B1,[1],[0.99962354]
VPS51,[1],[0.99961984]
MTOR,[1],[0.99961793]
COL12A1,[1],[0.99961793]
CCDC88A,[1],[0.9996171]
CYLD,[1],[0.9996165]
KEAP1,[1],[0.9996141]
MT-CO1,[1],[0.99960893]
HTT,[1],[0.99960643]
MED12,[1],[0.9996025]
GTF2IRD1,[1],[0.9996024]
CDK6,[1],[0.99960154]
TRPV6,[1],[0.99960047]
ARHGAP35,[1],[0.9995945]
IRAK1,[1],[0.9995914]
FN1,[1],[0.9995857]
IL10,[1],[0.99958163]
RANBP2,[1],[0.9995772]
TFRC,[1],[0.99957544]
IGF2R,[1],[0.99956673]
CHST11,[1],[0.9995591]
CNOT1,[1],[0.99955744]
BDP1,[1],[0.99955577]
PTPRK,[1],[0.99955434]
IL6ST,[1],[0.9995498]
RAD51,[1],[0.99954826]
QKI,[1],[0.99954706]
DNAH9,[1],[0.99954516]
CHD1,[1],[0.99954104]
LCK,[1],[0.9995371]
TUB,[1],[0.9995357]
TLR4,[1],[0.9995328]
HSPA8,[1],[0.9995309]
SLC27A1,[1],[0.99951184]
CAV1,[1],[0.99951017]
ROR2,[1],[0.9995066]
MED13L,[1],[0.99950635]
COL1A2,[1],[0.9995054]
WRAP53,[1],[0.9995011]
LTBP1,[1],[0.99949276]
KRT4,[1],[0.9994925]
MYO10,[1],[0.9994923]
USP28,[1],[0.9994831]
NT5C2,[1],[0.99947983]
ZNRF2,[1],[0.9994752]
RIF1,[1],[0.99947387]
COX8A,[1],[0.9994734]
USP22,[1],[0.99946743]
DDX5,[1],[0.9994647]
LAMB3,[1],[0.9994597]
TANC1,[1],[0.9994566]
CREB3L1,[1],[0.9994562]
TAOK1,[1],[0.9994523]
SLCO3A1,[1],[0.9994487]
MVP,[1],[0.99944407]
CTNNA3,[1],[0.9994324]
SGK1,[1],[0.99942964]
EIF3A,[1],[0.999423]
CSF3R,[1],[0.99941885]
TAF15,[1],[0.9994161]
RHOA,[1],[0.99941516]
PRKAR1A,[1],[0.9994041]
PCF11,[1],[0.9994004]
ZDHHC21,[1],[0.99939954]
SH3GL1,[1],[0.9993993]
WDR3,[1],[0.99939466]
AAK1,[1],[0.9993851]
UPK2,[1],[0.9993845]
TFDP1,[1],[0.99938047]
MBD5,[1],[0.9993799]
KRT6A,[1],[0.99937624]
IGF2BP3,[1],[0.999371]
TRERF1,[1],[0.9993703]
MT-ND2,[1],[0.99936885]
SOX2,[1],[0.9993668]
KIF21A,[1],[0.99936587]
CENPF,[1],[0.99936587]
JUN,[1],[0.9993606]
DOCK2,[1],[0.9993556]
TAP1,[1],[0.9993499]
MYC,[1],[0.9993469]
TUBA1C,[1],[0.9993425]
DNAH7,[1],[0.99934083]
AP2B1,[1],[0.9993393]
DNAH2,[1],[0.99933857]
BCOR,[1],[0.9993292]
MMP2,[1],[0.9993267]
MUC1,[1],[0.9993193]
RPL27,[1],[0.99931884]
YME1L1,[1],[0.9993162]
MYO3B,[1],[0.99931216]
ZNF770,[1],[0.9992944]
TRPV2,[1],[0.9992908]
UBXN4,[1],[0.9992878]
FLRT2,[1],[0.99928504]
SURF4,[1],[0.99928385]
MPL,[1],[0.99928075]
BACH1,[1],[0.99928063]
SETX,[1],[0.9992768]
IRS4,[1],[0.9992741]
BRINP1,[1],[0.9992724]
UBXN1,[1],[0.9992594]
CFH,[1],[0.99924976]
ACTC1,[1],[0.9992481]
DOCK3,[1],[0.9992411]
CDH10,[1],[0.9992366]
CDKN1B,[1],[0.99922454]
PCDHGA11,[1],[0.9992199]
PBX1,[1],[0.9992149]
FANCA,[1],[0.9992125]
RASSF2,[1],[0.9992112]
MAP3K13,[1],[0.9992078]
AKAP13,[1],[0.9992034]
SENP5,[1],[0.99920005]
KAZN,[1],[0.9991955]
NFKB2,[1],[0.99918765]
TREML2,[1],[0.99918383]
CTBP2,[1],[0.9991744]
IFI30,[1],[0.99916923]
FES,[1],[0.9991567]
CA1,[1],[0.9991425]
LPP,[1],[0.9991411]
MYB,[1],[0.9991333]
TNFSF9,[1],[0.99913305]
PRDM16,[1],[0.99913055]
PPARG,[1],[0.9991248]
RAC2,[1],[0.99912304]
PAPPA,[1],[0.99911875]
PTK2,[1],[0.99911183]
LMNB1,[1],[0.99909353]
WDR18,[1],[0.99908984]
PLEKHA7,[1],[0.9990897]
SEC61A1,[1],[0.99908066]
FBLN2,[1],[0.99907047]
USP3,[1],[0.99907035]
SNRPD2,[1],[0.99906963]
CDK14,[1],[0.99906904]
DLK1,[1],[0.9990671]
SYNGR2,[1],[0.9990596]
BCL11A,[1],[0.9990582]
PPP2R1A,[1],[0.9990552]
SYNCRIP,[1],[0.99904996]
UIMC1,[1],[0.99904734]
RTN3,[1],[0.9990308]
NUP98,[1],[0.9990244]
MDM4,[1],[0.99901676]
MYLK,[1],[0.99900573]
ZNF234,[1],[0.99900454]
USP48,[1],[0.99900144]
DLG2,[1],[0.9989962]
MRC1,[1],[0.9989936]
PCDHA9,[1],[0.9989881]
KCTD3,[1],[0.99898785]
ERC1,[1],[0.9989876]
SUPT16H,[1],[0.9989876]
DNAH3,[1],[0.9989868]
CPS1,[1],[0.99898285]
CREB1,[1],[0.9989825]
THRAP3,[1],[0.99898094]
ZNF548,[1],[0.9989794]
PALB2,[1],[0.9989767]
TCHH,[1],[0.9989716]
LAMA5,[1],[0.9989617]
IRF4,[1],[0.99895465]
BRCA2,[1],[0.9989536]
STMN1,[1],[0.9989497]
IGF2BP1,[1],[0.9989454]
ZNF687,[1],[0.99893934]
HNRNPA1,[1],[0.99893445]
NTRK2,[1],[0.99893373]
CXCR4,[1],[0.99892575]
APP,[1],[0.99892235]
CASZ1,[1],[0.998922]
AP1B1,[1],[0.99891806]
NTRK1,[1],[0.9989159]
MAP1B,[1],[0.9989103]
TIMP2,[1],[0.9989078]
ZNF423,[1],[0.9989052]
AGO2,[1],[0.99890506]
EDN1,[1],[0.998901]
RECQL4,[1],[0.99889636]
PAX3,[1],[0.9988932]
ACKR3,[1],[0.9988927]
IKBKB,[1],[0.9988918]
LMOD1,[1],[0.9988796]
UBB,[1],[0.9988727]
PIK3CB,[1],[0.9988721]
HLA-DRB5,[1],[0.9988636]
SGIP1,[1],[0.9988594]
SLC16A1,[1],[0.99885285]
PMEPA1,[1],[0.99884367]
YWHAG,[1],[0.99884075]
PDGFB,[1],[0.9988212]
SGPP1,[1],[0.9988011]
SMG1,[1],[0.99879956]
ZMYND10,[1],[0.99879944]
FXR1,[1],[0.9987973]
TRIM21,[1],[0.9987954]
PDE1A,[1],[0.9987907]
TEX14,[1],[0.9987896]
PARD3,[1],[0.99878746]
SNRPB2,[1],[0.99877995]
WNT5A,[1],[0.99876356]
SPI1,[1],[0.99876213]
TLE2,[1],[0.99876094]
PPFIBP1,[1],[0.9987451]
RPL23,[1],[0.9987437]
TANK,[1],[0.9987336]
REV1,[1],[0.99872524]
SEC24D,[1],[0.99871993]
FGF1,[1],[0.99871075]
MAP3K7,[1],[0.9986935]
ALMS1,[1],[0.998692]
CHD8,[1],[0.99869186]
RPN1,[1],[0.9986902]
ADAM12,[1],[0.9986884]
ATP1A2,[1],[0.99868184]
AQP3,[1],[0.998678]
CD79B,[1],[0.9986777]
TRIM27,[1],[0.99867296]
BCL9L,[1],[0.9986645]
NFKBIE,[1],[0.99866045]
CACNA1D,[1],[0.99866045]
SIX1,[1],[0.9986564]
PRPF40A,[1],[0.9986474]
ATP2B2,[1],[0.9986431]
WBP11,[1],[0.9986388]
SLC2A1,[1],[0.9986351]
CNTNAP2,[1],[0.99862826]
SIN3A,[1],[0.99861646]
TARDBP,[1],[0.9986123]
NCAPD3,[1],[0.99860746]
IRX1,[1],[0.998607]
STIP1,[1],[0.9986045]
GNGT1,[1],[0.9986003]
PRKCA,[1],[0.99859923]
ITGA9,[1],[0.9985851]
ADAMTS12,[1],[0.9985783]
CCNC,[1],[0.9985781]
ONECUT2,[1],[0.99857795]
NCOA3,[1],[0.99857175]
ABCB1,[1],[0.99856335]
ID1,[1],[0.9985625]
MMP14,[1],[0.9985538]
ZNF692,[1],[0.9985518]
CNOT3,[1],[0.99855155]
RERE,[1],[0.9985511]
POLE,[1],[0.9985448]
SEMA3E,[1],[0.99854004]
NAB2,[1],[0.99853945]
CCND1,[1],[0.99853754]
