Gene,Predicted Label,Probability
TNIK,[1],[0.8112892]
TNKS,[1],[0.8111363]
VIPR2,[1],[0.81083995]
HDAC4,[1],[0.8108228]
POLR2A,[1],[0.81027716]
INSR,[1],[0.8101144]
DOCK1,[1],[0.80985224]
PTPN13,[1],[0.8095157]
CELSR3,[1],[0.80937916]
IGF2,[1],[0.80932826]
GNG11,[1],[0.80882084]
RHOB,[1],[0.80875]
NGFR,[1],[0.808558]
TXNIP,[1],[0.80824673]
PLCB2,[1],[0.80738616]
LAMB2,[1],[0.8073597]
KNTC1,[1],[0.8072259]
SYCP2,[1],[0.8064927]
DNAH14,[1],[0.80624324]
NR3C2,[1],[0.8060814]
CSF2RB,[1],[0.80600566]
SOCS3,[1],[0.80522263]
VCL,[1],[0.80517626]
IKBKB,[1],[0.8050817]
PPP2CA,[1],[0.8049851]
PRICKLE1,[1],[0.804964]
SMC2,[1],[0.80478853]
ADCY5,[1],[0.80383235]
MYO5A,[1],[0.8037111]
FGF6,[1],[0.8034671]
LEPR,[1],[0.803372]
TRIOBP,[1],[0.80334675]
DOCK2,[1],[0.8024795]
ACTN2,[1],[0.8022911]
SMARCA2,[1],[0.8022693]
ARHGAP21,[1],[0.80209017]
CTNNA3,[1],[0.8017286]
ETS1,[1],[0.8013577]
CAV1,[1],[0.8012426]
RARA,[1],[0.8008227]
MEF2C,[1],[0.8002247]
COL9A2,[1],[0.7988007]
SLX4,[1],[0.79813856]
FOXO4,[1],[0.7979691]
GNAI2,[1],[0.7979189]
POLR2B,[1],[0.7975327]
HMGA2,[1],[0.7970611]
DCHS1,[1],[0.7966064]
CDK4,[1],[0.7963529]
CSNK1D,[1],[0.79560214]
HLA-DPA1,[1],[0.7954303]
FZD10,[1],[0.7952273]
CCNF,[1],[0.79495144]
ADAM12,[1],[0.79491323]
MAML2,[1],[0.79461807]
ITGA9,[1],[0.7945038]
ARHGAP5,[1],[0.79375666]
POMC,[1],[0.7935399]
CDC6,[1],[0.7932436]
NEGR1,[1],[0.79321605]
PPARG,[1],[0.7928348]
GNA15,[1],[0.7925752]
PRKAA2,[1],[0.79198074]
EIF4A2,[1],[0.79193413]
NLRP3,[1],[0.79188013]
ADCY9,[1],[0.79186547]
CACNB2,[1],[0.79186356]
