Gene,Predicted Label,Probability
TFAP2A,[1],[0.8857532]
MAP2,[1],[0.8853709]
SDC2,[1],[0.8850284]
VAMP8,[1],[0.8844209]
PDGFRB,[1],[0.88414365]
NOTCH4,[1],[0.88360757]
B4GALT1,[1],[0.8830912]
POLQ,[1],[0.88298154]
CDH2,[1],[0.88291323]
EP400,[1],[0.88262635]
SMC1A,[1],[0.8821895]
UNC80,[1],[0.8821571]
NCOA3,[1],[0.8820808]
JUP,[1],[0.8819371]
CASP3,[1],[0.8816703]
LAMA2,[1],[0.8803614]
CDKN2A,[1],[0.8801557]
ITGB2,[1],[0.879715]
ENPP1,[1],[0.87963116]
SZT2,[1],[0.8790945]
SIN3A,[1],[0.8777524]
UBE2I,[1],[0.876548]
KIT,[1],[0.87625325]
TRAF6,[1],[0.8761052]
MYOCD,[1],[0.87568456]
GRB2,[1],[0.87554437]
IQGAP1,[1],[0.87542355]
NRP1,[1],[0.87472695]
FOXA1,[1],[0.8741369]
TAF1,[1],[0.8740512]
TGFB1,[1],[0.8740394]
LAMA5,[1],[0.87388617]
VCL,[1],[0.87375253]
F5,[1],[0.8734525]
EPHB1,[1],[0.8733954]
SLIT3,[1],[0.8731035]
MAPK8,[1],[0.8731015]
EHHADH,[1],[0.8721876]
SOX2,[1],[0.87187684]
MKI67,[1],[0.8718707]
ZEB2,[1],[0.87177354]
JAK2,[1],[0.871254]
LCP2,[1],[0.87117153]
ARRB1,[1],[0.87091726]
GGH,[1],[0.8707905]
WNK1,[1],[0.87077516]
ACACA,[1],[0.87074304]
YWHAE,[1],[0.8707428]
PCDHA9,[1],[0.869871]
SMARCA2,[1],[0.86955947]
GNB4,[1],[0.869166]
IGF2,[1],[0.86904454]
COL6A2,[1],[0.86880475]
ACVR2A,[1],[0.86821496]
PDGFRA,[1],[0.86817014]
CHRM2,[1],[0.8681501]
KANSL1,[1],[0.86803293]
PLAUR,[1],[0.86798733]
TJP1,[1],[0.8675879]
PTPN11,[1],[0.8674265]
TGOLN2,[1],[0.86721796]
RUNX3,[1],[0.8669708]
FANCA,[1],[0.86683744]
JMJD1C,[1],[0.86655647]
CYP1A1,[1],[0.8663127]
MYPN,[1],[0.8661163]
CFTR,[1],[0.8649297]
EEF1A1,[1],[0.86460066]
EPHB2,[1],[0.8641437]
CCNB1,[1],[0.8640214]
GSK3B,[1],[0.86387354]
DICER1,[1],[0.86371034]
KCNAB2,[1],[0.8635318]
DNMT1,[1],[0.8635004]
PLK1,[1],[0.8634407]
MUC20,[1],[0.86306566]
TUBB2A,[1],[0.86272836]
CACNA1E,[1],[0.8619089]
MYLK,[1],[0.86183774]
THBS2,[1],[0.8617909]
CAV1,[1],[0.86121535]
LYN,[1],[0.86112475]
PLXND1,[1],[0.8605297]
DYSF,[1],[0.85992455]
FBN2,[1],[0.8597119]
SYK,[1],[0.8595993]
IRS1,[1],[0.85930634]
DNAH7,[1],[0.85908777]
MYO9A,[1],[0.8588777]
PLXNA1,[1],[0.8588368]
STAT4,[1],[0.85879266]
LRRC7,[1],[0.8587366]
MYH4,[1],[0.8586723]
MAML2,[1],[0.8579562]
POLE,[1],[0.85795355]
ABCA1,[1],[0.85776263]
TNS1,[1],[0.85674065]
KNG1,[1],[0.85622734]
SPTBN4,[1],[0.85569584]
IL6,[1],[0.85537684]
ITGAM,[1],[0.85489774]
COL4A4,[1],[0.85471916]
GNAS,[1],[0.85448045]
TBL1XR1,[1],[0.8543399]
NIPBL,[1],[0.85424227]
ZFP36L1,[1],[0.8542228]
COL18A1,[1],[0.854144]
CEP290,[1],[0.85386586]
DYNC2H1,[1],[0.85249966]
FGF1,[1],[0.8520012]
TNXB,[1],[0.8518264]
ARID5B,[1],[0.8514994]
ABCC9,[1],[0.8512685]
ITGA5,[1],[0.85110974]
FUT9,[1],[0.85097414]
CNGB1,[1],[0.8506924]
PPARG,[1],[0.85067457]
ITGA2,[1],[0.8506646]
SPTBN5,[1],[0.8498697]
UBR5,[1],[0.84908223]
ITGA3,[1],[0.8483753]
TRIO,[1],[0.84833807]
DOCK4,[1],[0.84821534]
RASA1,[1],[0.848059]
TLR7,[1],[0.8477785]
ZEB1,[1],[0.8462841]
DNM1,[1],[0.8462759]
ADCY8,[1],[0.84600073]
DNAH2,[1],[0.8455862]
AVPR2,[1],[0.8451025]
PLXNA2,[1],[0.844499]
LAMC2,[1],[0.8443852]
EPHA2,[1],[0.8443794]
COL4A3,[1],[0.8434584]
TNF,[1],[0.84209317]
DNMT3A,[1],[0.8412076]
CNOT1,[1],[0.8405787]
PCNT,[1],[0.8403161]
DNAH1,[1],[0.83627087]
HDAC4,[1],[0.8338055]
STAG1,[1],[0.8336542]
HSPA2,[1],[0.8335106]
PLG,[1],[0.8333491]
PRKCQ,[1],[0.8330689]
PRKAR2B,[1],[0.8327496]
ZBTB16,[1],[0.8319547]
TACR1,[1],[0.8308204]
MYH7,[1],[0.8304084]
PRKCZ,[1],[0.8303155]
GRIA2,[1],[0.8299066]
MAP1B,[1],[0.82806873]
LAMA4,[1],[0.82805]
MEF2C,[1],[0.8279708]
NRG1,[1],[0.82783365]
NGFR,[1],[0.8277045]
CTNNA2,[1],[0.82606775]
RAD51,[1],[0.82554924]
PIK3CG,[1],[0.8255186]
SERPINA1,[1],[0.82413214]
KAT6A,[1],[0.82384425]
PPP2R1B,[1],[0.8234966]
LDLR,[1],[0.8229444]
ITGB4,[1],[0.822477]
APOA1,[1],[0.82198083]
NRIP1,[1],[0.8215305]
HDAC5,[1],[0.82151306]
AURKA,[1],[0.82127523]
