Gene,Predicted Label,Probability
TG,[1],[0.993915]
ALB,[1],[0.99390006]
DNAH9,[1],[0.99387425]
FGFRL1,[1],[0.99386203]
PCK1,[1],[0.99373007]
NRG4,[1],[0.99368423]
CTGF,[1],[0.99367404]
PRKCZ,[1],[0.9936544]
SHISA5,[1],[0.99356455]
COL4A4,[1],[0.99346656]
RBBP8,[1],[0.9933961]
RYR1,[1],[0.99332374]
HDAC7,[1],[0.99322903]
EYA3,[1],[0.99319696]
TMOD3,[1],[0.99310184]
STAG2,[1],[0.99306655]
GLI3,[1],[0.9930119]
SEC11A,[1],[0.99293315]
PIN1,[1],[0.9929045]
AGFG1,[1],[0.9928266]
DAPP1,[1],[0.99279404]
SNX18,[1],[0.9926327]
TTF1,[1],[0.9926029]
ZFHX3,[1],[0.99254084]
PRSS1,[1],[0.9925303]
COL11A2,[1],[0.9924563]
MAN1C1,[1],[0.9923454]
AOX1,[1],[0.99233717]
VDR,[1],[0.9923183]
JAG1,[1],[0.99229574]
TICAM2,[1],[0.9922603]
PAX6,[1],[0.9922454]
RB1,[1],[0.99220455]
HIVEP3,[1],[0.99217635]
PLEC,[1],[0.9921605]
ALOX15B,[1],[0.99200046]
PML,[1],[0.99197304]
CIDEA,[1],[0.9919098]
POLD4,[1],[0.9918303]
ITPR3,[1],[0.9917965]
UPF2,[1],[0.9916706]
RIMS2,[1],[0.99161786]
PIK3C2B,[1],[0.991581]
SYT2,[1],[0.9915053]
TWIST1,[1],[0.99147063]
TGFBR2,[1],[0.99142987]
PTK6,[1],[0.99141073]
SULT2A1,[1],[0.9912744]
TNKS2,[1],[0.9911712]
RELN,[1],[0.9910601]
CHD4,[1],[0.9910573]
GSTK1,[1],[0.99105525]
MAP2K3,[1],[0.9908742]
TRIM62,[1],[0.99077904]
DNM1,[1],[0.99070823]
PIK3AP1,[1],[0.99064505]
CUX1,[1],[0.9904979]
QKI,[1],[0.99042225]
MYH14,[1],[0.99038225]
MAPK1,[1],[0.990329]
SH3GL1,[1],[0.9902182]
ZCRB1,[1],[0.9901878]
PTPN13,[1],[0.9901474]
RASA1,[1],[0.9900489]
CHRM1,[1],[0.9899856]
GP6,[1],[0.9899829]
TOP2B,[1],[0.9898023]
TRIM35,[1],[0.9896568]
BLK,[1],[0.98958313]
MAPK13,[1],[0.9894623]
PIM1,[1],[0.9893854]
FGFR1OP2,[1],[0.9892938]
RSPO3,[1],[0.98925436]
VCAN,[1],[0.9891964]
PTPRB,[1],[0.989057]
MYH10,[1],[0.98893505]
SPEN,[1],[0.98885894]
PLCG2,[1],[0.98874307]
POLE3,[1],[0.9887116]
IRF6,[1],[0.98870915]
BTC,[1],[0.98868424]
FBN1,[1],[0.9886164]
MRAS,[1],[0.9885515]
KAT6A,[1],[0.98853594]
TAF1D,[1],[0.988519]
LMO1,[1],[0.98849547]
FAN1,[1],[0.98847383]
CHRM2,[1],[0.988467]
FN1,[1],[0.988415]
PTAFR,[1],[0.9882436]
CYP2A6,[1],[0.98820835]
GPR143,[1],[0.9880471]
PBX1,[1],[0.98794264]
FAM114A2,[1],[0.98790926]
MYO10,[1],[0.98790246]
CALD1,[1],[0.9876501]
PIK3C2G,[1],[0.9876395]
KRT39,[1],[0.9875981]
OSBPL1A,[1],[0.98739445]
CRP,[1],[0.98733497]
IQGAP2,[1],[0.987212]
PELI1,[1],[0.987207]
HELZ2,[1],[0.9870609]
LMNA,[1],[0.9870526]
MAP3K4,[1],[0.98677814]
CDKN2A,[1],[0.98672813]
KEAP1,[1],[0.9867259]
NCK1,[1],[0.9867122]
HDAC6,[1],[0.9864276]
ARID2,[1],[0.98633677]
FZD2,[1],[0.9863214]
IL23R,[1],[0.98631734]
ERLIN2,[1],[0.98602235]
RAC1,[1],[0.9859578]
WNK2,[1],[0.98571604]
RUNX1,[1],[0.9856909]
MPV17,[1],[0.9856641]
ITGA10,[1],[0.9856398]
CACNG8,[1],[0.9856103]
LRRFIP1,[1],[0.98551154]
TGOLN2,[1],[0.9853953]
PDGFA,[1],[0.9853419]
SIPA1L1,[1],[0.98533523]
ANK3,[1],[0.9853277]
CD8A,[1],[0.985154]
NRG2,[1],[0.98510486]
CKB,[1],[0.98499435]
DSCAM,[1],[0.9848952]
MMP7,[1],[0.98487365]
MAP2K2,[1],[0.9847081]
CDKN1A,[1],[0.98454154]
KRT40,[1],[0.9844284]
EHMT2,[1],[0.98442614]
THPO,[1],[0.9840649]
PRKCA,[1],[0.9839972]
PIAS3,[1],[0.98389417]
CDH9,[1],[0.9835438]
GTSE1,[1],[0.98345053]
MYBPC2,[1],[0.9833181]
SYT5,[1],[0.98316675]
GNB1,[1],[0.98305964]
TCHH,[1],[0.9828325]
JAK1,[1],[0.98282987]
MGA,[1],[0.98280036]
RPS6KA6,[1],[0.9826151]
PRKCG,[1],[0.98261446]
TPR,[1],[0.9824927]
PSME3,[1],[0.9822276]
